,Season,Arsenal,Aston Villa,Chelsea,Liverpool,Man City,Newcastle,Oldham,Sheffield United,Southampton,West Ham,Norwich,Tottenham,Everton,Ipswich,Leeds,Wimbledon,Blackburn,Coventry,Man United,QPR,Sheffield Weds,Swindon,Crystal Palace,Leicester,Nott'm Forest,Bolton,Middlesbrough,Derby,Sunderland,Barnsley,Charlton,Watford,Bradford,Fulham,Birmingham,West Brom,Portsmouth,Wolves,Wigan,Reading,Hull,Stoke,Burnley,Blackpool,Swansea,Cardiff,Bournemouth,Brighton,Huddersfield,Brentford
0,2010-11,0.5,0.3157894736842105,0.5526315789473685,0.4473684210526316,0.5526315789473685,0.2894736842105263,0.0,0.0,0.0,0.18421052631578946,0.0,0.42105263157894735,0.34210526315789475,0.0,0.0,0.0,0.2894736842105263,0.0,0.6052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.2894736842105263,0.21052631578947367,0.3157894736842105,0.0,0.2894736842105263,0.23684210526315788,0.0,0.0,0.34210526315789475,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
1,2011-12,0.5526315789473685,0.18421052631578946,0.47368421052631576,0.3684210526315789,0.7368421052631579,0.5,0.0,0.0,0.0,0.0,0.3157894736842105,0.5263157894736842,0.39473684210526316,0.0,0.0,0.0,0.21052631578947367,0.0,0.7368421052631579,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.2894736842105263,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.34210526315789475,0.0,0.13157894736842105,0.2894736842105263,0.0,0.0,0.2894736842105263,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0
2,2012-13,0.5526315789473685,0.2631578947368421,0.5789473684210527,0.42105263157894735,0.6052631578947368,0.2894736842105263,0.0,0.0,0.23684210526315788,0.3157894736842105,0.2631578947368421,0.5526315789473685,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684210526315788,0.0,0.0,0.0,0.0,0.2894736842105263,0.0,0.3684210526315789,0.0,0.0,0.23684210526315788,0.15789473684210525,0.0,0.23684210526315788,0.0,0.0,0.2894736842105263,0.0,0.0,0.0,0.0,0.0
3,2013-14,0.631578947368421,0.2631578947368421,0.6578947368421053,0.6842105263157895,0.7105263157894737,0.39473684210526316,0.0,0.0,0.39473684210526316,0.2894736842105263,0.21052631578947367,0.5526315789473685,0.5526315789473685,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.23684210526315788,0.0,0.18421052631578946,0.0,0.0,0.0,0.0,0.2631578947368421,0.34210526315789475,0.0,0.0,0.2894736842105263,0.18421052631578946,0.0,0.0,0.0,0.0
4,2014-15,0.5789473684210527,0.2631578947368421,0.6842105263157895,0.47368421052631576,0.631578947368421,0.2631578947368421,0.0,0.0,0.47368421052631576,0.3157894736842105,0.0,0.5,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.21052631578947367,0.0,0.0,0.34210526315789475,0.2894736842105263,0.0,0.0,0.0,0.0,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.0,0.0,0.0,0.0,0.21052631578947367,0.39473684210526316,0.18421052631578946,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0
5,2015-16,0.5263157894736842,0.07894736842105263,0.3157894736842105,0.42105263157894735,0.5,0.23684210526315788,0.0,0.0,0.47368421052631576,0.42105263157894735,0.23684210526315788,0.5,0.2894736842105263,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2894736842105263,0.6052631578947368,0.0,0.0,0.0,0.0,0.23684210526315788,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.3157894736842105,0.0,0.2894736842105263,0.0,0.0,0.0
6,2016-17,0.6052631578947368,0.0,0.7894736842105263,0.5789473684210527,0.6052631578947368,0.0,0.0,0.0,0.3157894736842105,0.3157894736842105,0.0,0.6842105263157895,0.4473684210526316,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.3157894736842105,0.3157894736842105,0.0,0.0,0.13157894736842105,0.0,0.15789473684210525,0.0,0.0,0.2894736842105263,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.23684210526315788,0.2894736842105263,0.2894736842105263,0.0,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0,0.0
7,2017-18,0.5,0.0,0.5526315789473685,0.5526315789473685,0.8421052631578947,0.3157894736842105,0.0,0.0,0.18421052631578946,0.2631578947368421,0.0,0.6052631578947368,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.6578947368421053,0.0,0.0,0.0,0.2894736842105263,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.18421052631578946,0.3684210526315789,0.0,0.21052631578947367,0.0,0.2894736842105263,0.23684210526315788,0.23684210526315788,0.0
8,2018-19,0.5526315789473685,0.0,0.5526315789473685,0.7894736842105263,0.8421052631578947,0.3157894736842105,0.0,0.0,0.23684210526315788,0.39473684210526316,0.0,0.6052631578947368,0.39473684210526316,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3684210526315789,0.39473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.18421052631578946,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.2894736842105263,0.0,0.0,0.2631578947368421,0.34210526315789475,0.23684210526315788,0.07894736842105263,0.0
9,2019-20,0.32142857142857145,0.25,0.4827586206896552,0.9310344827586207,0.6428571428571429,0.3103448275862069,0.0,0.39285714285714285,0.3448275862068966,0.2413793103448276,0.1724137931034483,0.3793103448275862,0.3448275862068966,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.0,0.0,0.0,0.3448275862068966,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.0,0.0,0.2413793103448276,0.20689655172413793,0.0,0.0
