Season,DateTime,HomeTeam,AwayTeam,FTR,HomeTeam_WinPercentage,HomeTeam_DrawPercentage,AwayTeam_WinPercentage,AwayTeam_DrawPercentage,HomeTeam_Streak,AwayTeam_Streak,HomeTeam_AvgGoal,AwayTeam_AvgGoal,HomeTeam_AvgGoalDiff,AwayTeam_AvgGoalDiff,HomeTeam_AvgShotOnTarget,AwayTeam_AvgShotOnTarget,HomeTeam_AvgShotBlock,AwayTeam_AvgShotBlock,HomeTeam_AvgCorners,AwayTeam_AvgCorners,HomeTeam_AvgRedCards,AwayTeam_AvgRedCards,HomeTeam_AvgYellowCards,AwayTeam_AvgYellowCards,HomeTeam_H2H_Wins,AwayTeam_H2H_Wins,HomeTeam_Last_Season,AwayTeam_Last_Season
2013-14,2013-08-26 00:00:00+00:00,Man United,Chelsea,D,1.0,0.0,1.0,0.0,1,2,4.0,2.0,3.0,1.5,7.0,4.0,5.0,2.0,4.0,3.0,0.0,0.0,3.0,0.5,3.5,1.5,0.7368421052631579,0.5789473684210527
2013-14,2013-08-31 00:00:00+00:00,Cardiff,Everton,D,0.5,0.0,0.0,1.0,1,0,1.5,1.0,-0.5,0.0,3.5,7.0,2.5,1.0,3.0,9.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.4210526315789473
2013-14,2013-08-31 00:00:00+00:00,Crystal Palace,Sunderland,H,0.0,0.0,0.0,0.5,-2,0,0.5,0.5,-1.0,-0.5,4.0,3.0,2.0,2.5,1.5,4.0,0.0,0.0,0.5,1.0,1.0,3.0,0.0,0.2368421052631578
2013-14,2013-08-31 00:00:00+00:00,Man City,Hull,H,0.5,0.0,0.5,0.0,-1,1,3.0,0.5,1.5,-0.5,8.0,1.5,2.0,3.5,8.0,1.0,0.0,0.5,1.0,1.0,2.5,0.5,0.6052631578947368,0.0
2013-14,2013-08-31 00:00:00+00:00,Newcastle,Fulham,H,0.0,0.5,0.5,0.0,0,-1,0.0,1.0,-2.0,-0.5,0.5,4.0,4.0,3.5,3.0,1.0,0.5,0.0,1.5,2.5,1.0,0.0,0.2894736842105263,0.2894736842105263
2013-14,2013-08-31 00:00:00+00:00,Norwich,Southampton,H,0.0,0.5,0.5,0.5,-1,0,1.0,1.0,-0.5,0.5,3.0,4.0,2.0,1.5,5.5,6.5,0.0,0.0,1.5,1.0,2.0,0.0,0.2631578947368421,0.2368421052631578
2013-14,2013-08-31 00:00:00+00:00,West Ham,Stoke,A,0.5,0.5,0.5,0.0,0,1,1.0,1.0,1.0,0.0,2.5,4.5,0.5,7.0,4.0,6.5,0.0,0.0,0.5,2.0,2.0,3.0,0.3157894736842105,0.2368421052631578
2013-14,2013-09-01 00:00:00+00:00,Arsenal,Tottenham,H,0.5,0.0,1.0,0.0,1,2,2.0,1.0,0.0,1.0,5.5,3.5,3.5,4.0,6.0,7.5,0.5,0.0,3.0,0.5,3.5,1.5,0.5526315789473685,0.5526315789473685
2013-14,2013-09-01 00:00:00+00:00,Liverpool,Man United,H,1.0,0.0,0.5,0.5,2,0,1.0,2.0,1.0,1.5,6.0,5.0,3.5,4.5,7.0,4.0,0.0,0.0,2.0,1.5,2.0,3.0,0.4210526315789473,0.7368421052631579
2013-14,2013-09-01 00:00:00+00:00,West Brom,Swansea,A,0.0,0.5,0.0,0.0,0,-2,0.0,0.5,-0.5,-2.0,1.5,5.5,4.5,3.5,2.5,5.0,0.0,0.0,2.5,2.5,3.0,2.0,0.3684210526315789,0.2894736842105263
